NodeID,Code,Latitude,Longitude,Height,LinkID1,LinkID2,LinkID3,LinkID4,LinkID5,LinkID6
00001B000000000309A7002599F8FFC2,2,35.8.35.2535,136.54.9.7775,0,00001B000000000309A7002599F8FFC1,00001B000000000309A704A599F97FC1,,,,
00001B000000000309A6FFA599F8FFC2,2,35.8.35.15,136.54.9.7882,0,00001B000000000309A7002599F8FFC1,00001B000000000309A6FFA599F8FFC1,,,,
00001B000000000309A92DA59A817FC2,2,35.10.26.7342,136.54.37.0149,0,00001B000000000309A92DA59A817FC1,00001B000000000309A92DA59A7FFFC1,,,,
00001B000000000309A92DA59A837FC2,2,35.10.26.7647,136.54.37.4708,0,00001B000000000309A92DA59A817FC1,00001B000000000309A92D259A837FC1,00001B000000000309A92DA59A837FC1,,,
00001B000000000309A776A59A0F7FC3,2,35.8.58.9895,136.54.14.2599,0,00001B000000000309A776A59A0F7FC1,00001B000000000309A776259A0F7FC1,00001B000000000309A776A59A0F7FC2,,,
00001B000000000309A776A59A127FC4,2,35.8.58.984,136.54.14.8073,0,00001B000000000309A776A59A0F7FC1,00001B000000000309A776A59A127FC1,00001B000000000309A776A59A127FC2,,,
00001B000000000309A71D2599DBFFC2,2,35.8.41.0091,136.54.3.9329,0,00001B000000000309A71D2599DBFFC1,00001B000000000309A71C2599DB7FC1,,,,
00001B000000000309A71DA599DB7FC1,2,35.8.41.1485,136.54.3.8318,0,00001B000000000309A71D2599DBFFC1,,,,,
00001B000000000309AA75259C607FC4,2,35.11.32.2681,136.56.12.8981,0,00001B000000000309AA75259C607FC2,00001B000000000309AA75259C607FC3,00001B000000000309AA75259C607FC1,,,
00001B000000000309AA73259C6B7FC3,2,35.11.31.8011,136.56.15.0872,0,00001B000000000309AA73259C6B7FC1,00001B000000000309AA73259C6B7FC2,00001B000000000309AA75259C607FC1,,,
00001B000000000309AA72259C6B7FC2,2,35.11.31.6969,136.56.15.0553,0,00001B000000000309AA73259C6B7FC1,00001B000000000309AA72259C6B7FC1,,,,
00001B000000000309AA72259C6FFFC3,2,35.11.31.6207,136.56.15.932,0,00001B000000000309AA73259C6B7FC2,00001B000000000309AA72259C6FFFC1,00001B000000000309AA72259C6FFFC2,,,
00001B000000000309A87A259A757FC4,2,35.9.50.8434,136.54.34.6585,0,00001B000000000309A87A259A757FC1,00001B000000000309A87A259A757FC2,00001B000000000309A87A259A757FC3,00001B000000000309A87A259A747FC1,,
00001B000000000309A87A259A7518C2,2,35.9.50.8109,136.54.34.6599,-0.5,00001B000000000309A87A259A757FC1,00001B000000000309A87A259A7518C1,,,,
00001B000000000309A83C2599A4FFC3,2,35.9.38.463,136.53.52.9073,2,00001B000000000309A83C2599A4FFC1,00001B000000000309A83D2599A47FC1,,,,
00001B000000000309A83C2599A8FFC2,2,35.9.38.4882,136.53.53.7414,2,00001B000000000309A83C2599A4FFC1,00001B000000000309A83C2599A8FFC1,,,,
00001B000000000309A82C2599ADFFC2,2,35.9.35.2485,136.53.54.7239,0,00001B000000000309A82C2599ADFFC1,00001B000000000309A82BA599ADFFC1,,,,
00001B000000000309A82C2599A9FFC2,2,35.9.35.2365,136.53.53.9485,0,00001B000000000309A82C2599ADFFC1,00001B000000000309A82C2599A9FFC1,,,,
00001B000000000309A7092599EAFFC4,2,35.8.37.0466,136.54.6.9287,0,00001B000000000309A7092599EAFFC1,00001B000000000309A7092599EAFFC3,00001B000000000309A7092599EAFFC2,00001B000000000309A70A2599EB7FC1,,
00001B000000000309A7092599EA7FC2,2,35.8.37.0152,136.54.6.8582,0,00001B000000000309A7092599EAFFC1,00001B000000000309A7092599EA7FC1,,,,
00001B000000000309A707A599E6FFC2,2,35.8.36.7069,136.54.6.1679,0,00001B000000000309A707A599E6FFC1,00001B000000000309A708A599E9FFC1,,,,
00001B000000000309A7072599E67FC2,2,35.8.36.665,136.54.6.0742,0,00001B000000000309A707A599E6FFC1,00001B000000000309A7072599E67FC1,,,,
00001B000000000309A716A599B3FFC2,2,35.8.39.7104,136.53.55.9872,0,00001B000000000309A716A599B3FFC1,00001B000000000309A7152599B3FFC1,,,,
00001B000000000309A723A599B3FFC2,2,35.8.42.341,136.53.55.9938,0,00001B000000000309A716A599B3FFC1,00001B000000000309A723A599B3FFC1,,,,
00001B000000000309A6F82599B87FC2,2,35.8.33.6383,136.53.56.8387,0,00001B000000000309A6F82599B87FC1,00001B000000000309A6F82599B4FFC1,,,,
00001B000000000309A6F82599B8FFC2,2,35.8.33.6393,136.53.56.958,0,00001B000000000309A6F82599B87FC1,00001B000000000309A6F82599B8FFC1,,,,
00001B000000000309A6F82599B4FFC2,2,35.8.33.6326,136.53.56.1319,0,00001B000000000309A6F82599B4FFC1,00001B000000000309A6F82599B47FC2,,,,
00001B000000000309A9B02599EDFFC3,2,35.10.52.898,136.54.7.5701,0,00001B000000000309A9B02599EDFFC1,00001B000000000309A9B02599EDFFC2,,,,
00001B000000000309A9B0A599EF7FC1,2,35.10.52.9205,136.54.7.8849,0,00001B000000000309A9B02599EDFFC1,00001B000000000309A9A02599EFFFC1,00001B000000000309A9B2259A067FC1,,,
00001B000000000309AA52A59D1CFFC3,2,35.11.25.3358,136.56.50.5578,0,00001B000000000309AA52A59D1CFFC1,00001B000000000309AA52A59D1CFFC2,00001B000000000309AA52259D1CFFC1,,,
00001B000000000309AA53259D1D7FC1,2,35.11.25.4204,136.56.50.6979,0,00001B000000000309AA52A59D1CFFC1,,,,,
00001B000000000309A99CA599B8FFC2,2,35.10.48.9867,136.53.56.964,0,00001B000000000309A99CA599B8FFC1,00001B000000000309A9AB2599B77FC2,00001B000000000309A99CA599B87FC1,,,
